Estimated molecular formula	M/Z	Mlp102036	Mlp106078	Mlp123227	Mlp123531	Mlp124256	Mlp124266	Mlp124357	Mlp124466	Mlp124497	Mlp124499	Mlp124518	Mlp37347	Mlp72983	Mlp123218
C28H40O18	663.214186	-2.082164997	-1.638064556	-3.136045016	-0.218486121	-1.738264799	-3.062339914	-2.057358936	-1.46321526	-2.352928807	-2.944350199	-2.78146527	-0.675665537	-0.006499377	0.027570592
C28H46O11	557.296734	0	0	0	0	0	0	0	0	0	3.345406671	0	0	0	2.216903698
C29H16O12	555.056899	-3.599740866	-3.599740866	-3.599740866	-2.636754701	-2.308457105	-3.599740866	-3.599740866	-1.485471682	-3.599740866	-3.599740866	-3.599740866	-3.599740866	0.53667462	-3.389212705
C29H28O17N2	675.13152	0	0	0	2.435160019	0	0	0	0	0	0	0	0	0	0
C29H28O18	663.120286	-2.595230663	-1.678975312	-3.343729235	-0.77976896	-1.064289151	-3.244087428	-2.954037321	0.654723394	-3.508325409	-4.070434905	-3.438623772	-2.233096365	0.743391698	-1.245030609
C29H29O14N1	614.151527	-2.533190009	-1.911474223	-2.533190009	-0.608094543	0.630471257	-2.533190009	-2.095157417	-1.971063514	-2.533190009	-2.533190009	-2.533190009	-2.533190009	-2.533190009	-2.405748583
C29H30O16	633.146107	-2.867022194	-2.571297167	-2.427524693	-2.058264787	-1.301236618	-1.530008029	-0.897984706	-0.092285791	-2.351580075	-2.652003429	-1.838028909	-1.856359788	-1.389814506	-2.465513842
C29H34O15	621.182493	1.328923287	0.267573976	3.451348294	-0.24497418	0.856514593	1.08732895	1.587735644	-1.160499632	1.279159633	3.002314189	2.774089955	0.685365538	-1.720214296	1.487769738
C29H34O21N2	745.158128	0	0.460548722	2.049480462	0	0	1.194986877	0	0.440845961	0	0.922386466	0.556733509	0.640081071	0	0
C29H36O12N2	603.219547	-0.534385601	1.095952366	3.079756392	-0.534385601	1.060479781	3.358409637	1.073877789	0.164405528	1.260598166	1.217611685	2.344611679	0.496936497	-0.534385601	0.63362529
C29H40O18	675.214186	-4.093825756	-4.093825756	-4.093825756	-1.030866387	-4.093825756	-4.093825756	-4.093825756	-4.093825756	-4.093825756	-4.093825756	-4.093825756	-4.093825756	-0.519474457	-0.950543313
C29H40O21	723.19893	0	0	0	0	0	0	4.530343795	2.769789749	0	0	0	0	1.386101883	0
C29H40O22	739.193845	2.519074089	0	0	0	0	0	0	0	0	0	0	0	1.281530928	0
C29H40O9N2	559.266103	0	0	0	0	0	0	0	0	2.002237999	0	0.845190282	0	0	0
C29H44O6	487.306511	1.742696787	1.364120871	3.101577814	1.151832306	0	0.675527724	0	0	0	1.750644227	0	0.630170841	0.925343901	0.576829848
C29H48O12	587.307299	-2.506979948	-1.126942612	-0.868875442	-1.368081453	0.305727347	0.147376304	-0.384423833	-1.249002407	-0.128902163	-0.879273114	-0.70982383	-0.80429551	-0.961691693	-1.016899592
C29H48O14	619.297128	0	0	2.483378498	1.289075235	0	1.691617462	0	0	0	2.224072293	1.57359213	0	0	0.937719278
C29H49O18N1	698.287685	1.824193741	1.290685027	1.444237738	1.457543328	1.203590492	2.468631459	1.948662466	1.368752114	1.701258561	1.10799444	0.729764122	1.624201944	0.15862171	2.644452227
C29H50O13	605.317863	-1.168211641	0.00155227	0.21433524	0.073175166	-0.850996913	0.100401522	-0.422195054	-1.003682768	-3.511181516	0.156654872	0.29801921	-3.511181516	-3.511181516	-0.088299732
C29H54O16	657.333907	0	0.601492671	0	0.4531039	0	0	1.545101533	0	2.2400981	1.736280229	0	0.948196603	0	0
C30H24O14N2	635.115476	0.160602194	2.270511995	3.45268805	-0.293326599	1.978907069	3.273126621	0.732606051	1.012180752	1.020600571	2.143983296	2.048217423	1.274446108	0.301436472	-1.224554638
C30H24O15N2	651.110391	-0.140003427	1.39185825	2.843044808	-0.268312804	1.365878615	2.380431615	-0.029614549	0.462806873	-0.170536924	1.210410808	1.017851358	0.361578774	0.29250133	-0.819408365
C30H26O13	593.130063	-2.574802138	0.48416604	0.836015427	-2.574802138	0.955581288	1.521648792	1.203275902	0.099158538	0.483483039	1.560260786	-2.574802138	0.484989218	-2.574802138	0
C30H30O13N2	625.167511	-0.723583385	0.573229168	0.625989522	-0.485593763	0.766651296	-0.463973591	0.299168854	0.117307591	0.38906987	0.750130294	0.397415804	0.253824043	0.173257934	-2.172500522
C30H30O16	645.146107	0	0	0	0	0	0	0	0	2.501439562	0	0	0	0	0
C30H30O18	677.135936	-2.43874082	-1.750781688	-2.673640137	-1.288750607	-1.247233699	-2.887582955	-2.012216399	0.127700465	-2.677593754	-3.264194892	-2.740156982	-1.462292398	-0.012999843	-1.680879328
C30H30O7	501.191876	0	0	1.137890233	2.049093751	0	1.669900774	0	0	0	0	0	0	0	0
C30H31O15N1	644.162091	-3.160858159	-1.226733253	-7.065858927	-1.949357882	-1.345753324	-7.813902522	-4.92821898	-2.025549793	-1.702817199	-5.249290609	-3.421235042	-1.739348257	-4.036619097	-0.153940091
